"Title","ID","Created Date","Updated Date","Owner","courseCode","universityCode","level","duration","studyMode","intake","campusTrack","tuitionCurrency","tuitionTotal_Malaysian","tuitionTotal_International","notes"
"MEng Aeronautics and Astronautics (2+2)","05cd6345-b26e-47d7-b3b7-411752fc7034",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_MENG_AERONAUTICS_AND_ASTRONAUTICS","UOSM","Undergraduate (Integrated Masters)","4 years (Years 1–2 Malaysia, Years 3–4 UK)","Full-time",,"2+2 (MY + UK)","MYR+GBP","103400","119900","UK Years 3–4: £21,920 per annum; 20% Transition Bursary applies upon progression. Totals are split by currency."
"Diploma in Business Management","0696e85f-10a5-4a8b-9456-3c39d8c6b074",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","MDIS_DIPLOMA_IN_BUSINESS_MANAGEMENT","MDIS","Diploma","2.5 years","Full-time",,"Malaysia",,,,"Starter row added from official MDIS programme pages/search snippets. Verify exact duration, fee, and intake on the specific programme page before import into production recommendations."
"Engineering Foundation Year","07635f38-6323-49c6-b468-322a0c549d79",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_ENGINEERING_FOUNDATION_YEAR","UOSM","Foundation","1 year","Full-time",,"Malaysia","MYR","29100","36200","Tuition fees only; excludes visa fees, living costs."
"BSc Business Analytics","0772cc31-6c8f-4761-87bc-08bbffbed0c7",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_BSC_BUSINESS_ANALYTICS","UOSM","Undergraduate","3 years","Full-time",,"Malaysia","MYR","118965","138000","Tuition fees only; excludes visa fees, living costs."
"Bachelor of Arts (Honours) Media, Culture and Communication","0ce01f3f-a242-48f7-8e12-0b8c8a20b1ea",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","MDIS_BACHELOR_OF_ARTS_MEDIA_CULTURE_AND_COMMUNICATION","MDIS","Undergraduate","3 years","Full-time",,"Malaysia",,,,"Starter row added from official MDIS programme pages/search snippets. Verify exact duration, fee, and intake on the specific programme page before import into production recommendations."
"Bachelor of Science (Honours) in Banking and Finance","0cf85894-6513-421a-8bbd-92a520330997",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","MDIS_BACHELOR_OF_SCIENCE_IN_BANKING_AND_FINANCE","MDIS","Undergraduate","3 years","Full-time",,"Malaysia",,,,"Starter row added from official MDIS programme pages/search snippets. Verify exact duration, fee, and intake on the specific programme page before import into production recommendations."
"BSc Finance & Business Management","1483a7b4-3c8f-4963-a880-e13694b99539",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UORM_BSC_FINANCE_AND_BUSINESS_MANAGEMENT","UORM","Undergraduate","3 years","Full-time",,"Malaysia",,,,"Starter row added from official programmes page. Add tuition and detailed entry rules from the relevant course page before production use."
"BSc Psychology with Professional Placement","16312fc4-6008-46d1-8e50-edcff7ed11d1",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UORM_BSC_PSYCHOLOGY_WITH_PROFESSIONAL_PLACEMENT","UORM","Undergraduate","4 years","Full-time",,"Malaysia",,,,"Starter row added from official programmes page. Add tuition and detailed entry rules from the relevant course page before production use."
"BSc Marketing","1ec9ddbf-54cb-489d-9f10-393bc261c44a",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_BSC_MARKETING","UOSM","Undergraduate","3 years","Full-time",,"Malaysia","MYR","115500","133980","Tuition fees only; excludes visa fees, living costs."
"BSc Economics and Actuarial Science","1f6a55b2-a460-4191-8f50-6310262d59d5",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_BSC_ECONOMICS_AND_ACTUARIAL_SCIENCE","UOSM","Undergraduate","3 years","Full-time",,"Malaysia","MYR","126381","146622","Tuition fees only; excludes visa fees, living costs."
"MEng Mechanical Engineering (2+2)","2cd29e66-2bef-4658-b9b5-33afd9eb6cd9",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_MENG_MECHANICAL_ENGINEERING","UOSM","Undergraduate (Integrated Masters)","4 years (Years 1–2 Malaysia, Years 3–4 UK)","Full-time",,"2+2 (MY + UK)","MYR+GBP","103400","119900","UK Years 3–4: £21,920 per annum; 20% Transition Bursary applies upon progression. Totals are split by currency."
"BSc Business Entrepreneurship","306e7660-dabe-4ab7-b417-d7813a8a2170",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_BSC_BUSINESS_ENTREPRENEURSHIP","UOSM","Undergraduate","3 years","Full-time",,"Malaysia","MYR","115500","133980","Tuition fees only; excludes visa fees, living costs."
"Foundation in Biological and Biomedical Sciences","4b73548b-e7ec-4335-975a-5142f357e1d8",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","NUMED_FOUNDATION_IN_BIOLOGICAL_AND_BIOMEDICAL_SCIENCES","NUMED","Foundation","1 years","Full-time",,"Malaysia",,,,"Starter row added from official application/programme page. Fill detailed tuition and entry requirements manually from programme-specific admissions pages."
"MEng Electrical and Electronic Engineering (2+2)","54a76554-0c8e-41c8-b373-65bab7ffad33",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_MENG_ELECTRICAL_AND_ELECTRONIC_ENGINEERING","UOSM","Undergraduate (Integrated Masters)","4 years (Years 1–2 Malaysia, Years 3–4 UK)","Full-time",,"2+2 (MY + UK)","MYR+GBP","103400","119900","UK Years 3–4: £21,920 per annum; 20% Transition Bursary applies upon progression. Totals are split by currency."
"Diploma in Information Technology","5f9aab74-aafe-4a5d-b911-ac44d12ac3d1",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","MDIS_DIPLOMA_IN_INFORMATION_TECHNOLOGY","MDIS","Diploma","2.5 years","Full-time",,"Malaysia",,,,"Starter row added from official MDIS programme pages/search snippets. Verify exact duration, fee, and intake on the specific programme page before import into production recommendations."
"BSc Real Estate","66f638f7-58b6-4e1e-9d01-d62de165a4b0",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UORM_BSC_REAL_ESTATE","UORM","Undergraduate","3 years","Full-time",,"Malaysia",,,,"Starter row added from official programmes page. Add tuition and detailed entry rules from the relevant course page before production use."
"BSc Business and Management","6bb8d0e7-59fb-4ce5-9233-22f29c202102",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UORM_BSC_BUSINESS_AND_MANAGEMENT","UORM","Undergraduate","3 years","Full-time",,"Malaysia",,,,"Starter row added from official programmes page. Add tuition and detailed entry rules from the relevant course page before production use."
"Diploma in Mass Communication","6c0e7135-e477-4c1a-985b-3d3bbacc30ef",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","MDIS_DIPLOMA_IN_MASS_COMMUNICATION","MDIS","Diploma","2.5 years","Full-time",,"Malaysia",,,,"Starter row added from official MDIS programme pages/search snippets. Verify exact duration, fee, and intake on the specific programme page before import into production recommendations."
"Bachelor of Laws (LL.B)","771fb0cb-d34d-42e7-9876-898f12a5d529",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UORM_BACHELOR_OF_LAWS","UORM","Undergraduate","3 years","Full-time",,"Malaysia",,,,"Starter row added from official programmes page. Add tuition and detailed entry rules from the relevant course page before production use."
"Diploma in Finance","7d72bb95-0a4d-47b0-8dab-8a1444b4392c",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","MDIS_DIPLOMA_IN_FINANCE","MDIS","Diploma","2.5 years","Full-time",,"Malaysia",,,,"Starter row added from official MDIS programme pages/search snippets. Verify exact duration, fee, and intake on the specific programme page before import into production recommendations."
"Computer Science Foundation Year","7e93e243-9c1b-4e32-a39c-acbcc9c1d2b0",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_COMPUTER_SCIENCE_FOUNDATION_YEAR","UOSM","Foundation","1 year","Full-time",,"Malaysia","MYR","29973","36200","Tuition fees only; excludes visa fees, living costs."
"BSc Quantity Surveying","8334b313-ea3c-41f0-be4b-03868699d7b9",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UORM_BSC_QUANTITY_SURVEYING","UORM","Undergraduate","3 years","Full-time",,"Malaysia",,,,"Starter row added from official programmes page. Add tuition and detailed entry rules from the relevant course page before production use."
"Diploma in Tourism Management","90ce59df-1129-4462-9464-8aec919db78b",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","MDIS_DIPLOMA_IN_TOURISM_MANAGEMENT","MDIS","Diploma","2.5 years","Full-time",,"Malaysia",,,,"Starter row added from official MDIS programme pages/search snippets. Verify exact duration, fee, and intake on the specific programme page before import into production recommendations."
"Diploma in Hotel Management","9275e5f8-dfa1-4171-a99b-65b33932fb7e",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","MDIS_DIPLOMA_IN_HOTEL_MANAGEMENT","MDIS","Diploma","2.5 years","Full-time",,"Malaysia",,,,"Starter row added from official MDIS programme pages/search snippets. Verify exact duration, fee, and intake on the specific programme page before import into production recommendations."
"BSc Accounting & Finance","95c32f65-59aa-476b-84e7-4264c6e54d26",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UORM_BSC_ACCOUNTING_AND_FINANCE","UORM","Undergraduate","3 years","Full-time",,"Malaysia",,,,"Starter row added from official programmes page. Add tuition and detailed entry rules from the relevant course page before production use."
"Diploma in International Business","a2f885fa-0cb4-420a-bc76-498f2883f054",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","MDIS_DIPLOMA_IN_INTERNATIONAL_BUSINESS","MDIS","Diploma","2.5 years","Full-time",,"Malaysia",,,,"Starter row added from official MDIS programme pages/search snippets. Verify exact duration, fee, and intake on the specific programme page before import into production recommendations."
"Diploma in Marketing","ae446c58-d1ac-4fc1-9bb3-173ef3ac7d9e",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","MDIS_DIPLOMA_IN_MARKETING","MDIS","Diploma","2.5 years","Full-time",,"Malaysia",,,,"Starter row added from official MDIS programme pages/search snippets. Verify exact duration, fee, and intake on the specific programme page before import into production recommendations."
"BSc Finance and Financial Technology","bcfcd308-21a6-4170-b8ef-ab0f63a0f507",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_BSC_FINANCE_AND_FINANCIAL_TECHNOLOGY","UOSM","Undergraduate","3 years","Full-time",,"Malaysia","MYR","118965","138000","Tuition fees only; excludes visa fees, living costs."
"Foundation in Business","c4a18c87-ec3e-46bf-8f9f-454cb8ec5c88",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","MDIS_FOUNDATION_IN_BUSINESS","MDIS","Foundation","1 years","Full-time",,"Malaysia",,,,"Starter row added from official MDIS programme pages/search snippets. Verify exact duration, fee, and intake on the specific programme page before import into production recommendations."
"BSc Accounting and Finance","c9ebe7c5-141e-44d8-838b-a890cd6c962c",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_BSC_ACCOUNTING_AND_FINANCE","UOSM","Undergraduate","3 years","Full-time",,"Malaysia","MYR","115500","133980","Tuition fees only; excludes visa fees, living costs."
"Bachelor of Medicine & Bachelor of Surgery (MBBS)","db1585e1-ffaa-4fac-bba0-e3a556c9f442",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","NUMED_BACHELOR_OF_MEDICINE_AND_BACHELOR_OF_SURGERY","NUMED","Undergraduate","5 years","Full-time",,"Malaysia",,,,"Starter row added from official application/programme page. Fill detailed tuition and entry requirements manually from programme-specific admissions pages."
"BSc Business Management","e23e18b3-75da-415e-a633-7892c8fa6d52",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_BSC_BUSINESS_MANAGEMENT","UOSM","Undergraduate","3 years","Full-time",,"Malaysia","MYR","115500","133980","Tuition fees only; excludes visa fees, living costs."
"Business Foundation Year","e3dc2eb8-d0e5-4685-ba65-65086abc1c68",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_BUSINESS_FOUNDATION_YEAR","UOSM","Foundation","1 year","Full-time",,"Malaysia","MYR","26200","31440","Tuition fees only; excludes visa fees, living costs."
"BSc Psychology","ebe9be45-a5b3-4aa4-8d15-b80081c76e0e",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UORM_BSC_PSYCHOLOGY","UORM","Undergraduate","3 years","Full-time",,"Malaysia",,,,"Starter row added from official programmes page. Add tuition and detailed entry rules from the relevant course page before production use."
"Bachelor of Science (Honours) in International Tourism and Hospitality Management","ef6771e3-1f77-4cfc-b410-696c65715562",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","MDIS_BACHELOR_OF_SCIENCE_IN_INTERNATIONAL_TOURISM_AND_HOSPITALITY_MANAGEMENT","MDIS","Undergraduate","3 years","Full-time",,"Malaysia",,,,"Starter row added from official MDIS programme pages/search snippets. Verify exact duration, fee, and intake on the specific programme page before import into production recommendations."
"BSc (Honours) Biomedical Sciences","f233e1d6-c1c7-4556-9d0e-d8b8d664b623",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","NUMED_BSC_BIOMEDICAL_SCIENCES","NUMED","Undergraduate","3 years","Full-time",,"Malaysia",,,,"Starter row added from official application/programme page. Fill detailed tuition and entry requirements manually from programme-specific admissions pages."
"BSc Computer Science","f49986ce-a9f2-488c-8005-498ee8b4adeb",2026-04-16T06:41:27Z,2026-04-16T06:41:27Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_BSC_COMPUTER_SCIENCE","UOSM","Undergraduate","3 years","Full-time",,"Malaysia","MYR","122700","142350","Tuition fees only; excludes visa fees, living costs."
