"Title","ID","Created Date","Updated Date","Owner","scholarshipCode","universityCode","courseCode","scholarshipType","amountOrBenefit","eligibilityCriteria","applicableIntake","deadline","notes"
"Top Achiever Scholarship (STPM)","00435e58-dbd0-44a4-986a-9c7a4f63ff6b",2026-04-16T06:43:23Z,2026-04-16T06:43:23Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_TOP_ACHIEVER_SCHOLARSHIP_BSC_MARKETING","UOSM","UOSM_BSC_MARKETING","Merit scholarship","60% (Year 1) + 20% (Year 2 & 3)","STPM graduates: requirement AAA- for Business Programmes / Economics & Actuarial Science.",,,"Undergraduate scholarship tier for STPM graduates."
"Top Achiever Scholarship (UEC)","01355ca6-4e88-4683-817c-8e93a9b99856",2026-04-16T06:43:23Z,2026-04-16T06:43:23Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_TOP_ACHIEVER_SCHOLARSHIP_BSC_ECONOMICS_AND__3","UOSM","UOSM_BSC_ECONOMICS_AND_ACTUARIAL_SCIENCE","Merit scholarship","60% (Year 1) + 20% (Year 2 & 3)","UEC graduates: requirement 4A1 for Business Programmes / Economics & Actuarial Science.",,,"Undergraduate scholarship tier for UEC graduates."
"Special UEC Grant - Undergraduate","02eb1c8f-7c93-4180-93ea-551e7d15ceb7",2026-04-16T06:43:23Z,2026-04-16T06:43:23Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_SPECIAL_UEC_GRANT_UNDERGRADU_BSC_FINANCE_AND_FI","UOSM","UOSM_BSC_FINANCE_AND_FINANCIAL_TECHNOLOGY","UEC grant","Up to RM 7,000","Eligible UEC graduates who accept and pay deposit before intake.",,,"Cannot be compounded with scholarship/education grant; highest amount only applies."
"High Achiever Scholarship (UEC)","032936e9-1664-4434-aae8-4ba7de321918",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_HIGH_ACHIEVER_SCHOLARSHIP_MENG_ELECTRICAL_AN_3","UOSM","UOSM_MENG_ELECTRICAL_AND_ELECTRONIC_ENGINEERING","Merit scholarship","Engineering: RM 13,000; Other Programmes: RM 10,000","UEC graduates: requirement 3A1 for Engineering / Computer Science Programmes.",,,"Undergraduate scholarship tier for UEC graduates."
"Exceptional Achiever Scholarship (STPM)","03b4254b-6b89-42da-b79c-3b4fe70ef302",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_EXCEPTIONAL_ACHIEVER_SCHOLAR_BSC_MARKETING","UOSM","UOSM_BSC_MARKETING","Merit scholarship","RM 25,000","STPM graduates: requirement AA-A- for Business Programmes / Economics & Actuarial Science.",,,"Undergraduate scholarship tier for STPM graduates."
"Trial/Forecast Results Scholarship","05e8c456-ce03-4181-ab4f-ef690bd18af7",2026-04-16T06:43:23Z,2026-04-16T06:43:23Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_TRIAL_FORECAST_RESULTS_SCHOL_BUSINESS_FOUNDATIO","UOSM","UOSM_BUSINESS_FOUNDATION_YEAR","Foundation scholarship","Up to 100% scholarship","Uses O-Level trial/forecast results; limited time offer, terms and conditions apply.",,,"Official page does not publish a full tier table in the text snippet."
"High Achiever Scholarship (A Levels)","06347803-65d3-44b0-b070-9c3d47903365",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_HIGH_ACHIEVER_SCHOLARSHIP_BSC_BUSINESS_ENTRE_2","UOSM","UOSM_BSC_BUSINESS_ENTREPRENEURSHIP","Merit scholarship","RM 10,000","A Levels graduates: requirement AAA for Business Programmes / Economics & Actuarial Science.",,,"Undergraduate scholarship tier for A Levels graduates."
"High Achiever Scholarship (STPM)","08c51e3d-81bf-4406-8e27-903d346421ed",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_HIGH_ACHIEVER_SCHOLARSHIP_BSC_COMPUTER_SCIEN","UOSM","UOSM_BSC_COMPUTER_SCIENCE","Merit scholarship","Engineering: RM 13,000; Other Programmes: RM 10,000","STPM graduates: requirement AAA- for Engineering / Computer Science Programmes.",,,"Undergraduate scholarship tier for STPM graduates."
"Exceptional Achiever Scholarship (UEC)","08e718ac-6021-4961-a059-bb436c03626d",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_EXCEPTIONAL_ACHIEVER_SCHOLAR_BSC_BUSINESS_ANALY_3","UOSM","UOSM_BSC_BUSINESS_ANALYTICS","Merit scholarship","RM 25,000","UEC graduates: requirement 3A1 for Business Programmes / Economics & Actuarial Science.",,,"Undergraduate scholarship tier for UEC graduates."
"High Achiever Scholarship (Business Foundation)","09e46e7b-a768-4b14-be08-e09fdfd79e87",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_HIGH_ACHIEVER_SCHOLARSHIP_BUSINESS_FOUNDATIO_6","UOSM","UOSM_BUSINESS_FOUNDATION_YEAR","Foundation scholarship","RM 8,000","7As in SPM or equivalent",,,"Official page notes that various international boards and other qualifications may also be considered via counsellor."
"High Achiever Scholarship (STPM)","0a2e210a-ae38-4dcb-a25d-5123e02a273b",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_HIGH_ACHIEVER_SCHOLARSHIP_COMPUTER_SCIENCE_F","UOSM","UOSM_COMPUTER_SCIENCE_FOUNDATION_YEAR","Merit scholarship","Engineering: RM 13,000; Other Programmes: RM 10,000","STPM graduates: requirement AAA- for Engineering / Computer Science Programmes.",,,"Undergraduate scholarship tier for STPM graduates."
"Top Achiever Scholarship (Business Foundation)","0aeeb52f-2a1c-4e51-9e0e-10f05d3678e9",2026-04-16T06:43:23Z,2026-04-16T06:43:23Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_TOP_ACHIEVER_SCHOLARSHIP_BUSINESS_FOUNDATIO_4","UOSM","UOSM_BUSINESS_FOUNDATION_YEAR","Foundation scholarship","100%","6A+ / A* in SPM or equivalent",,,"Official page notes that various international boards and other qualifications may also be considered via counsellor."
"High Achiever Scholarship (STPM)","0ca82eca-96b8-434b-a04f-3e9ebfb40c98",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_HIGH_ACHIEVER_SCHOLARSHIP_BSC_BUSINESS_ENTRE","UOSM","UOSM_BSC_BUSINESS_ENTREPRENEURSHIP","Merit scholarship","RM 10,000","STPM graduates: requirement A-A-A- for Business Programmes / Economics & Actuarial Science.",,,"Undergraduate scholarship tier for STPM graduates."
"Special UEC Grant - Undergraduate","0d17bad7-130a-4fc0-a4ab-22ca0219c2e3",2026-04-16T06:43:23Z,2026-04-16T06:43:23Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_SPECIAL_UEC_GRANT_UNDERGRADU_BSC_BUSINESS_ENTRE","UOSM","UOSM_BSC_BUSINESS_ENTREPRENEURSHIP","UEC grant","Up to RM 7,000","Eligible UEC graduates who accept and pay deposit before intake.",,,"Cannot be compounded with scholarship/education grant; highest amount only applies."
"Top Achiever Scholarship (A Levels)","0d32ff2b-f665-400d-98e0-3b4aac422b87",2026-04-16T06:43:23Z,2026-04-16T06:43:23Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_TOP_ACHIEVER_SCHOLARSHIP_BSC_BUSINESS_MANAG_2","UOSM","UOSM_BSC_BUSINESS_MANAGEMENT","Merit scholarship","60% (Year 1) + 20% (Year 2 & 3)","A Levels graduates: requirement A*A*A for Business Programmes / Economics & Actuarial Science.",,,"Undergraduate scholarship tier for A Levels graduates."
"High Achiever Scholarship (Business Foundation)","0d84d8b9-9575-411d-ba04-1b19387465ba",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_HIGH_ACHIEVER_SCHOLARSHIP_BUSINESS_FOUNDATIO_10","UOSM","UOSM_BUSINESS_FOUNDATION_YEAR","Foundation scholarship","RM 3,000","3As or 1A+ / A* in SPM or equivalent",,,"Official page notes that various international boards and other qualifications may also be considered via counsellor."
"Undergraduate Education Grant","10444bd1-bd14-451b-9788-e54a0e506134",2026-04-16T06:43:23Z,2026-04-16T06:43:23Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_UNDERGRADUATE_EDUCATION_GRAN_BSC_FINANCE_AND_FI","UOSM","UOSM_BSC_FINANCE_AND_FINANCIAL_TECHNOLOGY","Education grant","Up to RM 5,000","Eligible applicants, except scholarship recipients; deposit required to confirm place and qualify.",,,"Cannot be compounded with scholarship/Special UEC Grant; highest amount only applies."
"Foundation Education Grant","10f429b0-b0af-4342-83f4-266a091801a4",2026-04-16T06:43:24Z,2026-04-16T06:43:24Z,"a0b69dfb-18af-4851-9408-58a5754755fc","UOSM_FOUNDATION_EDUCATION_GRANT_ENGINEERING_FOUNDA","UOSM","UOSM_ENGINEERING_FOUNDATION_YEAR","Education grant","RM 1,500","Available for eligible applicants; deposit required to confirm place and qualify.",,,"Limited time offer. Scholarship, education grant and Special UEC Grant cannot be compounded; highest amount only applies."
